district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31,rps32
五股區,房地(土地+建物),新北市五股區新五路三段１８２號十五樓,9.58,商,,,1081207,土地1建物1車位0,十五層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,76.95,2,2,1,有,有,6500000,84470,,0,0,民國112年3月11日讓渡預售屋、或土地及建物分件登記案件；,RPSTMLTJRHIGFBF86DA,45.28,3.48,3.11,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１９６號十三樓,13.55,商,,,1081230,土地1建物1車位1,十三層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,134.29,3,2,2,有,有,10000000,83436,坡道平面,36.61,1850000,民國110年12月6日轉讓，交易總價新台幣1031萬元整預售屋、或土地及建物分件登記案件；,RPUOMLTJRHIGFBF56DA,57.95,3.07,4.97,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１９６號十二樓,13.55,商,,,1081208,土地1建物1車位1,十二層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,134.29,3,2,2,有,有,10200000,86507,坡道平面,36.61,1750000,預售屋、或土地及建物分件登記案件；,RPTOMLTJRHIGFBF09DA,57.95,3.07,4.97,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１８２號十二樓,10.98,商,,,1081229,土地1建物1車位1,十二層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,113.56,2,2,1,有,有,8400000,85120,坡道平面,36.61,1850000,民國110年4月27日讓渡預售屋、或土地及建物分件登記案件；,RPQTMLTJRHIGFBF66DA,45.28,3.48,3.11,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１９８號十六樓,20.1,商,,,1081202,土地1建物1車位2,十六層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,211.34,3,2,2,有,有,15710000,86953,坡道平面,73.22,3700000,預售屋、或土地及建物分件登記案件；,RPVWMLTJRHIGFBF47DA,75.45,11.78,5.87,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１９２號十五樓,11.22,商,,,1081129,土地1建物1車位1,十五層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,114.33,2,2,1,有,有,8600000,86850,坡道平面,36.61,1850000,預售屋、或土地及建物分件登記案件；,RPQPMLTJRHIGFBF88DA,46.75,2.09,3.57,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１７６號十樓,12.15,商,,,1081125,土地1建物1車位1,十層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,122.28,3,2,1,有,有,8120000,72021,坡道平面,36.61,1950000,民國110年5月14日轉讓，交易金額新台幣960萬元整預售屋、或土地及建物分件登記案件；,RPUUMLTJRHIGFBF17DA,47.39,4.96,5.44,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段１７６號六樓,12.15,商,,,1081111,土地1建物1車位1,六層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,122.28,3,2,1,有,有,8030000,71554,坡道平面,36.61,1900000,民國110年5月6日轉讓交易金額新台幣966萬元整預售屋、或土地及建物分件登記案件；,RPTUMLTJRHIGFBF07DA,47.39,4.96,5.44,有,
五股區,房地(土地+建物)+車位,新北市五股區新五路三段２００號七樓,10.05,商,,,1081130,土地1建物1車位1,七層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,105.95,2,2,1,有,有,7950000,89414,坡道平面,36.61,1750000,預售屋、或土地及建物分件登記案件；,RPSPMLTJRHIGFBF09DA,43.7,0,3.02,有,
五股區,房地(土地+建物),新北市五股區新五路三段２００號十九樓,8.65,商,,,1081121,土地1建物1車位0,十九層,十九層,住宅大樓(11層含以上有電梯),其他,鋼筋混凝土造,1120703,69.34,2,2,1,有,有,6200000,89414,,0,0,民國112年3月11日讓渡預售屋、或土地及建物分件登記案件；,RPRQMLTJRHIGFBF09DA,43.7,0,3.02,有,
